N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop_Type,Season_Kharif,Season_Rabi,Season_Zaid,Soil_Texture_Clay,Soil_Texture_Loamy,Soil_Texture_Sandy,Soil_Texture_Silt,Region_Central,Region_East,Region_North,Region_South,Region_West,Soil_Type_Alluvial Soil,Soil_Type_Black Soil,Soil_Type_Black Soil ,Soil_Type_Desert Soil,Soil_Type_Red Soil
33,85,88,5.37,27.97,48.39,1638.09,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
113,40,82,5.66,23.59,57.47,2229.66,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
122,76,35,6.58,14.95,35.95,1356.11,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
93,44,20,7.17,26.51,86.04,1387.83,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
129,42,123,4.88,39.07,69.58,2218.77,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
78,62,47,5.8,12.94,79.27,1291.22,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
134,76,111,5.42,30.34,86.19,403.99,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
125,80,58,5.76,22.28,35.74,528.44,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
82,80,116,6.51,14.99,46.91,1911.37,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
105,98,64,5.84,37.62,52.94,1126.13,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
179,51,91,7.32,32.65,86.22,2083.11,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
174,29,91,4.82,34.28,70.41,610.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
168,26,101,6.8,12.05,88.68,521.07,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
32,22,96,8.02,36.56,66.24,924.87,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
159,25,131,4.97,39.68,85.37,414.99,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
31,20,26,6.45,23.01,48.59,1014.69,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
148,16,115,5.42,29.52,81.51,1820.23,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
119,80,72,6.26,12.21,36.19,1322.06,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
130,88,25,6.43,13.93,66.84,1889.71,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
154,31,34,6.81,15.03,79.88,313.51,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
65,15,24,5.08,27.4,39.63,1976.67,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
154,62,113,8.18,10.35,69.93,2604.49,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
106,31,137,5.55,37.17,58.88,1449.83,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
172,52,84,6.46,22.7,41.37,2035.22,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
175,59,34,7.35,35.5,52.22,1958.79,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
85,92,129,5.84,14.6,52.61,1011.68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
72,65,141,6.69,28.06,38.73,900.74,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
124,69,91,7.58,22.25,76.74,1847.31,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
78,31,64,5.31,35.31,35.5,1971.73,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
101,30,59,7.67,23.08,36.59,611.32,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
153,98,51,8.01,23.29,41.73,2367.42,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
133,28,143,8.01,36.65,47.95,685.15,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
130,48,31,5.77,17.32,66.48,882.86,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
138,88,86,6.81,22.01,57.8,1501.19,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
46,23,105,7.74,19.35,39.7,1173.61,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
128,85,43,5.35,28.39,42.17,1979.12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
130,58,125,6.97,37.36,33.0,509.67,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
75,57,81,5.11,39.97,73.19,2703.95,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
33,92,31,7.63,38.55,73.33,1918.29,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
78,38,20,7.6,20.35,64.92,697.43,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
175,92,112,5.08,23.46,56.83,2358.45,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
56,63,48,5.97,21.56,46.97,1755.69,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
109,59,141,6.69,27.24,53.43,2112.21,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
75,29,36,5.28,18.5,53.55,2529.36,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
106,41,99,6.15,21.53,53.58,1523.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
91,24,118,5.5,23.23,71.5,456.98,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
144,68,22,7.35,21.38,39.09,1795.37,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
116,33,104,6.56,31.28,59.81,615.19,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
77,74,62,5.08,36.04,71.97,829.91,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
42,40,49,7.57,17.52,35.91,2272.91,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
149,83,29,6.44,34.56,58.6,2469.95,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
109,58,61,7.94,19.01,74.73,2026.58,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
140,34,86,6.17,16.45,89.23,1243.71,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
133,28,145,6.05,39.0,79.62,2407.99,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
167,91,76,6.31,15.3,88.05,2577.37,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
166,72,96,6.32,38.58,76.37,349.44,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
97,58,27,5.65,13.9,50.31,1270.95,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
145,79,126,6.05,35.14,88.8,2592.02,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
73,93,113,4.82,17.27,40.85,2096.96,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
52,31,148,5.7,19.02,38.24,572.82,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
33,23,55,7.66,13.69,31.51,1631.89,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
164,38,134,4.87,11.74,71.82,2435.58,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
140,23,112,7.32,36.13,79.04,348.54,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
68,58,147,6.16,34.54,51.27,1563.57,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
101,25,96,7.65,20.16,65.31,2795.73,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
92,73,97,7.9,17.86,43.78,1465.39,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
109,15,97,8.1,11.45,65.62,307.73,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
152,31,23,6.57,36.68,31.91,1886.22,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
155,56,134,6.43,19.45,76.24,482.74,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
177,75,61,5.19,39.85,87.9,2061.42,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
147,67,56,8.14,15.0,57.37,862.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
161,55,26,7.55,32.27,37.4,1005.64,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
37,42,141,5.07,22.25,67.94,1500.03,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
116,21,79,7.77,26.28,80.63,1168.93,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
76,27,38,6.36,22.85,41.66,1589.86,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
52,85,100,7.67,21.14,34.73,517.97,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
105,52,46,5.88,29.78,60.63,2642.35,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
144,95,53,5.3,30.25,54.22,1235.51,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
69,29,58,7.09,10.05,74.94,1598.16,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
36,29,82,5.76,24.05,45.24,2248.34,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
160,67,149,7.91,34.38,83.06,1169.47,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
33,69,53,5.57,30.67,50.02,2406.82,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
166,72,108,4.83,13.92,32.26,1472.24,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
152,36,139,6.68,38.33,71.34,2183.73,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
69,78,100,6.18,36.67,72.93,1544.91,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
74,40,143,6.3,37.42,74.65,1217.65,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
41,99,93,7.41,33.15,87.13,2462.8,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
154,86,92,5.65,27.04,52.76,395.74,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
166,34,77,7.32,18.09,31.42,1981.01,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
145,77,101,5.05,34.95,54.46,1967.6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
71,43,125,4.89,22.97,71.87,1731.72,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
51,42,35,7.95,37.55,38.75,2244.28,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
151,59,28,7.17,32.67,64.35,1493.63,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
114,98,26,7.58,23.05,75.65,1325.25,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
34,27,31,6.33,34.43,70.36,1000.96,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
153,59,76,6.66,28.7,43.52,751.73,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
157,72,104,6.31,39.39,42.07,367.32,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
121,83,145,6.9,14.91,60.47,2311.38,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
45,68,61,6.31,23.11,65.38,1289.76,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
35,90,134,7.25,36.76,70.95,2116.54,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
102,73,74,5.87,17.11,33.37,1776.23,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
96,20,97,6.71,12.13,61.85,1429.57,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
30,35,131,6.16,31.89,56.68,411.69,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
174,17,97,6.03,36.84,81.82,434.18,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
155,69,139,7.1,35.31,41.89,1389.08,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
164,87,109,4.91,11.81,51.46,2098.74,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
120,30,62,8.09,31.36,62.98,670.23,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
117,55,51,4.85,36.67,75.84,1094.92,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
171,31,89,6.11,18.56,63.98,2062.64,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
59,34,141,6.91,35.02,61.9,2467.49,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
65,77,70,5.12,17.73,58.38,1082.22,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
74,96,25,7.12,13.16,48.09,1578.61,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
68,70,125,5.02,29.04,70.89,1230.55,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
133,22,57,7.67,11.77,58.81,1594.24,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
60,54,55,5.91,31.16,63.35,683.48,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
74,95,98,7.23,36.39,48.6,1582.09,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
63,75,40,6.09,34.38,82.81,2454.6,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
94,35,107,7.57,19.15,33.43,1331.14,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
46,72,50,7.74,29.45,40.43,1586.18,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
147,33,60,6.64,38.55,70.04,1001.95,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
137,33,132,7.7,38.97,42.34,667.28,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
137,74,72,7.05,28.99,62.5,353.74,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
88,52,120,5.61,13.11,30.35,2536.23,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
140,89,119,4.99,16.0,56.34,2293.37,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
42,98,133,5.67,31.19,69.64,1192.61,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
153,39,31,4.8,20.02,65.06,2651.36,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
119,15,104,4.98,11.33,75.3,1957.31,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
143,52,96,7.72,21.0,51.97,1260.86,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
66,55,125,6.23,37.59,56.21,1198.26,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
134,90,63,6.02,25.72,75.67,422.98,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
152,84,38,5.39,26.87,32.07,352.59,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
45,47,38,5.75,24.63,46.34,1190.77,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
115,26,134,7.39,19.52,68.36,1536.16,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
35,37,65,6.66,22.43,40.27,332.79,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
162,68,115,7.42,33.04,30.52,1065.73,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
90,66,111,4.96,24.18,30.54,2433.89,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
67,42,110,5.32,38.51,66.85,1750.98,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
34,61,118,7.38,18.79,57.29,2028.89,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
165,80,65,6.79,33.94,61.22,1017.92,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
81,49,31,5.59,11.16,32.8,2236.54,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
32,55,46,7.9,11.1,37.66,1237.29,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
147,64,29,7.59,14.32,73.02,1767.57,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
88,16,66,7.78,19.25,65.05,1770.23,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
176,63,124,7.16,22.8,71.72,2067.73,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
79,29,71,7.23,19.42,36.71,1892.53,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
96,19,33,5.14,36.15,55.72,2559.47,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
107,70,82,7.72,34.85,63.29,2123.17,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
30,73,131,5.71,17.81,85.28,1722.29,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
98,44,20,5.58,34.13,45.13,2161.23,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
170,76,70,4.96,18.87,78.77,1297.94,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
69,94,113,5.17,36.24,46.15,2386.94,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
97,52,39,7.95,14.05,36.33,629.16,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
45,85,63,7.27,37.55,38.0,2064.49,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
145,68,105,5.59,34.78,36.03,1319.44,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
62,62,37,6.62,24.81,70.03,837.13,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
176,83,61,6.51,20.2,63.45,1534.77,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
154,65,135,7.45,24.14,62.7,2323.62,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
138,83,137,5.32,24.0,55.16,697.57,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
40,94,146,4.91,28.31,73.29,1650.49,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
60,42,145,5.45,24.85,42.54,856.93,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
136,20,54,6.53,34.85,49.91,1858.8,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
